Job Title,Job Ratings,time,JobStatus,Pros,Cons
Certified nursing assistant cna,1.0,"Mar 12, 2024",Current employee,No home life no insurance,Bad management mandatory overtime every shift
Cyber security analyst,5.0,"Jul 23, 2025","Current employee, more than 1 year","good work life balance and good insurance , holiday and mortgage bonuses",few commissions which come once a year
Bank officer,5.0,"Jul 28, 2025","Current employee, more than 3 years","Nice renumeration
Opportunity for growth","Long working hours
Mean mgt"
Finacial analyst,5.0,"Jul 14, 2025","Current employee, more than 1 year","Strong leadership and corporate culture.
Multiple learning and growth opportunities.
Inclusive and innovative mindset.","Heavy workload in some departments.
Communication gaps between branches and HQ."
Finance executive,5.0,"Jul 16, 2025","Former employee, less than 1 year","remote work option
advance system
transparent communication from leadership
encouragement of innovation and ideas","long working hours
high work load
poor work life balance"
Senior risk management analyst,5.0,"Jul 13, 2025","Current employee, more than 3 years","Good bonuses
Medical
Very open staff",Prayers before meetings. Very strange for non Christians.
Bancassurance officer,5.0,"Jun 23, 2025","Former employee, more than 3 years",Great working environment and teamwork,Culture change from management and teamwork
Anonymous employee,4.0,"Jun 1, 2025","Former employee, less than 1 year","Inclusive of employees 
Good pay
Friendly environment",Intense environment (in terms of deadlines and assigned roles)
Direct sales representative,4.0,"May 20, 2025","Former employee, less than 1 year",get paid for your effort,purely commission based no retainer
Bancassurance officer,4.0,"May 12, 2025","Former employee, more than 3 years","Guaranteed bonuses annually
Guaranteed salary increment annually",Growth opportunities are limited hence one bein stagnant
Transition specialist,3.0,"May 8, 2025",Former employee,Great for learning as junior,Limited growth career path in IT
Application security specialist,4.0,"Jan 20, 2025","Current employee, more than 3 years","Tight-knit team that works well together for the most part. Senior managers are cool, very down to earth and ready to assist even if you don't directly report to them. If you want stability with a government-backed institution, KCB is your go-to choice. Loans are awesomely priced at low interest for employees.","Procurement could use some speed in terms of how long it takes to get tools, services, etc onboarded. Pay is ok. Benefits are ok as well."
Intern,3.0,"Feb 25, 2025","Former employee, less than 1 year",Learn the intricacies of the banking industry,"Sometimes I felt underemployed, and the department I was interning at had peak seasons and low seasons"
Direct sales representative (dsr),3.0,"Mar 18, 2025","Former employee, more than 1 year","Friendly colleagues, good benefits overall","Unreasonable sales target, too much pressure"
Data analyst,5.0,"Jan 25, 2025","Current employee, more than 1 year",Friendly work Environment from management to colleagues,"Long working hours, requires proper time management."
Bank teller,5.0,"Jan 26, 2025","Former employee, more than 1 year",Conducive environment for both workers and customers,Sometimes you work till late
Ict administrator,5.0,"Jan 22, 2025","Former employee, more than 1 year",Good Salary paid every month,bureaucracy at top management level
Direct sales representative (dsr),4.0,"Jan 6, 2025",Current employee,"Good working environment
Smooth interview process",More of field work than stationary work
Direst sales representative,4.0,"Nov 12, 2024","Former employee, more than 3 years",I want to able to build the brand image of Kenya Commercial Bank,Not being that competitive with other banking industries
Marketing director,4.0,"Nov 15, 2024","Current employee, more than 1 year",Enthusiastic team to work with good targets,Targets can at times be quite high
